Equipment,Equipment category,Working Status,Selected Duration Breakdown Hrs.
10001052,H,BREAKDOWN,744.0
10001054,H,BREAKDOWN,744.0
10001144,H,BREAKDOWN,744.0
10002992,H,BREAKDOWN,744.0
10002999,H,BREAKDOWN,744.0
10003016,H,BREAKDOWN,672.0
10003017,H,BREAKDOWN,744.0
10003021,H,BREAKDOWN,744.0
10003023,H,BREAKDOWN,510.0
10003024,H,BREAKDOWN,629.0
10003025,H,BREAKDOWN,518.0
10003032,H,BREAKDOWN,720.0
10003038,H,BREAKDOWN,744.0
10003039,H,BREAKDOWN,274.0
10003040,H,BREAKDOWN,336.0
10003041,H,BREAKDOWN,507.57
10003043,H,BREAKDOWN,211.0
10003044,H,BREAKDOWN,550.0
10003050,H,BREAKDOWN,744.0
10003052,H,BREAKDOWN,744.0
10003053,H,BREAKDOWN,744.0
10003059,H,BREAKDOWN,72.0
10003070,H,BREAKDOWN,369.5
10003071,H,BREAKDOWN,261.0
10003100,H,BREAKDOWN,744.0
10003107,H,BREAKDOWN,246.0
10003111,H,BREAKDOWN,127.0
10003116,H,BREAKDOWN,744.0
10003117,H,BREAKDOWN,744.0
10003118,H,BREAKDOWN,744.0
10003119,H,BREAKDOWN,744.0
10003120,H,BREAKDOWN,744.0
10003121,H,BREAKDOWN,744.0
10003125,H,BREAKDOWN,213.0
10003129,H,BREAKDOWN,744.0
10003131,H,BREAKDOWN,624.0
10003134,H,BREAKDOWN,408.0
10003138,H,BREAKDOWN,744.0
10003146,H,BREAKDOWN,576.0
10003147,H,BREAKDOWN,744.0
10003148,H,BREAKDOWN,744.0
10003149,H,BREAKDOWN,744.0
10003153,H,BREAKDOWN,95.0
10003154,H,BREAKDOWN,16.0
10003155,H,BREAKDOWN,744.0
10003156,H,BREAKDOWN,744.0
10003158,H,BREAKDOWN,744.0
10003160,H,BREAKDOWN,744.0
10003162,H,BREAKDOWN,744.0
10003163,H,BREAKDOWN,744.0
10003164,H,BREAKDOWN,301.0
10003170,H,BREAKDOWN,744.0
10003179,H,BREAKDOWN,744.0
10003181,H,BREAKDOWN,744.0
10003184,H,BREAKDOWN,744.0
10003190,H,BREAKDOWN,738.0
10003193,H,BREAKDOWN,744.0
10003196,H,BREAKDOWN,744.0
