Equipment,Equipment category,Risk_Score,Actual Sel Dur % Availability,Life Completed (in Yrs)
10003581,H,469.59999999999997,-7.8,5.88
40007859,A,452.79999999999995,-2.15,16.66
10003225,H,448.4,-0.67,8.51
10006899,H,447.59999999999997,-0.4,1.45
40020619,A,447.2,-0.27,3.55
10003017,H,446.4,0.0,8.65
10001054,H,446.4,0.0,8.19
10002992,H,446.4,0.0,11.35
10001144,H,446.4,0.0,15.91
10003052,H,446.4,0.0,8.7
10003053,H,446.4,0.0,8.65
10003100,H,446.4,0.0,10.32
10003116,H,446.4,0.0,8.71
10003117,H,446.4,0.0,8.71
10003021,H,446.4,0.0,7.49
10003038,H,446.4,0.0,11.11
10002999,H,446.4,0.0,8.67
10003120,H,446.4,0.0,8.52
10003121,H,446.4,0.0,8.29
10003138,H,446.4,0.0,16.94
10003129,H,446.4,0.0,27.45
10003148,H,446.4,0.0,14.35
10003149,H,446.4,0.0,14.33
10003155,H,446.4,0.0,26.55
10003147,H,446.4,0.0,14.36
10003158,H,446.4,0.0,10.95
10003160,H,446.4,0.0,11.35
10003162,H,446.4,0.0,10.94
10003163,H,446.4,0.0,12.28
10003170,H,446.4,0.0,14.25
10003179,H,446.4,0.0,8.81
10003181,H,446.4,0.0,8.81
10003156,H,446.4,0.0,23.93
10003184,H,446.4,0.0,8.52
10003193,H,446.4,0.0,14.03
10003199,H,446.4,0.0,6.45
10003196,H,446.4,0.0,7.44
10003203,H,446.4,0.0,12.15
10003209,H,446.4,0.0,14.5
10003219,H,446.4,0.0,14.34
10003231,H,446.4,0.0,19.65
10003236,H,446.4,0.0,6.16
10003264,H,446.4,0.0,10.98
10003297,H,446.4,0.0,7.84
10003299,H,446.4,0.0,18.85
10003301,H,446.4,0.0,8.31
10003118,H,446.4,0.0,8.52
10003119,H,446.4,0.0,8.52
10003050,H,446.4,0.0,8.7
10003330,H,446.4,0.0,12.32
10003333,H,446.4,0.0,14.45
10003340,H,446.4,0.0,12.45
10003334,H,446.4,0.0,16.15
10003350,H,446.4,0.0,8.86
10003355,H,446.4,0.0,12.14
10003361,H,446.4,0.0,18.86
10003346,H,446.4,0.0,18.87
10003368,H,446.4,0.0,37.27
10003370,H,446.4,0.0,14.5
10003371,H,446.4,0.0,14.5
10003372,H,446.4,0.0,12.3
10003386,H,446.4,0.0,7.12
10003387,H,446.4,0.0,7.12
10003389,H,446.4,0.0,31.49
10003362,H,446.4,0.0,11.04
10003409,H,446.4,0.0,8.87
10003411,H,446.4,0.0,8.86
10003412,H,446.4,0.0,8.81
10003423,H,446.4,0.0,11.52
10003431,H,446.4,0.0,12.6
10003433,H,446.4,0.0,11.49
10003442,H,446.4,0.0,12.38
10003444,H,446.4,0.0,14.63
10003446,H,446.4,0.0,12.76
10003451,H,446.4,0.0,7.48
10003471,H,446.4,0.0,10.92
10003472,H,446.4,0.0,10.92
10003475,H,446.4,0.0,11.07
10003476,H,446.4,0.0,13.36
10003478,H,446.4,0.0,19.94
10003399,A,446.4,0.0,4.13
10003487,H,446.4,0.0,14.05
10003488,H,446.4,0.0,17.45
10003493,H,446.4,0.0,14.49
10003492,H,446.4,0.0,8.68
10003501,H,446.4,0.0,7.54
10003502,H,446.4,0.0,39.49
10003504,H,446.4,0.0,14.47
10003496,H,446.4,0.0,12.61
10003516,H,446.4,0.0,11.76
10003524,H,446.4,0.0,12.35
10003536,H,446.4,0.0,7.54
10003537,H,446.4,0.0,7.54
10003538,H,446.4,0.0,12.44
10003542,H,446.4,0.0,6.29
10003549,H,446.4,0.0,14.59
10003514,H,446.4,0.0,11.71
10003553,H,446.4,0.0,14.62
10003555,H,446.4,0.0,14.54
10003562,H,446.4,0.0,10.79
10003557,H,446.4,0.0,12.46
10003567,H,446.4,0.0,8.97
10003572,H,446.4,0.0,7.51
10003578,H,446.4,0.0,21.1
10003580,H,446.4,0.0,7.48
10003585,H,446.4,0.0,14.37
10003586,H,446.4,0.0,19.0
10003595,H,446.4,0.0,17.61
10003596,H,446.4,0.0,19.34
10003600,H,446.4,0.0,12.37
10003303,H,446.4,0.0,7.55
10003323,H,446.4,0.0,26.07
10001052,H,446.4,0.0,8.19
10003615,H,446.4,0.0,33.7
10003611,H,446.4,0.0,14.37
10003602,H,446.4,0.0,12.41
10003616,H,446.4,0.0,17.94
10003644,H,446.4,0.0,23.71
10003617,H,446.4,0.0,24.0
10003634,H,446.4,0.0,12.38
10003635,H,446.4,0.0,12.39
10003652,H,446.4,0.0,24.9
10003653,H,446.4,0.0,25.15
10003654,H,446.4,0.0,5.56
10003663,H,446.4,0.0,5.57
10003681,H,446.4,0.0,23.29
10003645,H,446.4,0.0,16.7
10003650,H,446.4,0.0,25.11
10003651,H,446.4,0.0,28.37
10003718,H,446.4,0.0,10.48
10003726,H,446.4,0.0,10.9
10003737,H,446.4,0.0,8.81
10003743,H,446.4,0.0,14.03
10003746,H,446.4,0.0,7.53
10003748,H,446.4,0.0,6.45
10003749,H,446.4,0.0,12.52
10003750,H,446.4,0.0,12.98
10003753,H,446.4,0.0,14.5
10003763,H,446.4,0.0,12.46
10003767,H,446.4,0.0,6.93
10003768,H,446.4,0.0,14.63
10003770,H,446.4,0.0,14.58
10003699,H,446.4,0.0,10.85
10003710,H,446.4,0.0,12.98
10003712,H,446.4,0.0,8.28
10003779,H,446.4,0.0,19.32
10003781,H,446.4,0.0,12.22
10003783,H,446.4,0.0,12.32
10003784,H,446.4,0.0,7.48
10003786,H,446.4,0.0,26.24
10003787,H,446.4,0.0,27.23
10003788,H,446.4,0.0,26.69
10003797,H,446.4,0.0,7.24
10003803,H,446.4,0.0,7.08
10003810,H,446.4,0.0,8.88
10003817,H,446.4,0.0,12.98
10003823,H,446.4,0.0,8.97
10003832,H,446.4,0.0,38.29
10003837,H,446.4,0.0,5.74
10003839,H,446.4,0.0,17.62
10003840,H,446.4,0.0,16.54
10005843,H,446.4,0.0,4.66
10005880,H,446.4,0.0,4.59
10005998,H,446.4,0.0,4.76
10005999,H,446.4,0.0,4.47
10006032,H,446.4,0.0,4.42
10006038,H,446.4,0.0,8.98
10006063,H,446.4,0.0,4.42
10006065,H,446.4,0.0,4.41
10006068,H,446.4,0.0,4.45
10006070,H,446.4,0.0,4.66
